City List,Temperature,Latitude,Longitude,Humidity,Cloudiness,Wind
Jamestown,50.04,-33.21,138.6,73,0,5.3
Tansen,69.5,27.87,83.55,96,100,2.35
Sioux Lookout,79.86,50.1,-91.92,57,90,4.7
Shuangcheng,82.4,45.37,126.3,74,27,4.47
Dikson,32.15,73.51,80.55,97,100,12.62
Dabat,65.97,12.98,37.77,92,79,1.07
Babynino,46.4,54.39,35.75,100,0,5.91
Skibbereen,60.8,51.55,-9.27,82,75,9.17
Timizart,74.61,36.8,4.25,77,21,18.23
Aksarka,47.97,66.56,67.8,68,77,9.55
Inhambane,59.94,-23.87,35.38,94,0,2.62
Sao Filipe,73.33,14.9,-24.5,79,19,13.42
Mumford,71.78,5.26,-0.76,97,100,4.65
Mar del Plata,45.21,-46.43,-67.52,72,78,6.11
Varberg,56.34,57.11,12.25,87,99,8.05
Chernyshevskiy,69.8,63.01,112.47,57,65,6.82
Cabo San Lucas,88.41,22.89,-109.91,26,20,9.17
Grindavik,51.66,63.84,-22.43,100,75,5.82
Araouane,99.77,18.9,-3.53,15,13,4.76
Kahului,81.25,20.89,-156.47,74,75,13.87
Norden,53.73,53.59,7.21,87,90,5.82
Chuy,48.53,-33.69,-53.46,73,98,4.92
Kutum,72.92,14.2,24.66,71,91,9.17
Morrope,64.4,-6.54,-80.02,88,75,16.11
Hovd,52.57,63.83,10.7,87,75,9.17
Nuevo Progreso,89.44,26.05,-97.95,52,40,13.87
Longyearbyen,50.0,78.22,15.63,81,75,2.24
Moratuwa,80.6,6.77,79.88,88,20,4.7
Benghazi,79.09,32.12,20.07,71,0,4.09
Marshall,83.14,39.12,-93.2,65,1,4.7
Nakhon Nayok,83.93,14.2,101.21,70,83,2.24
Westport,72.16,41.14,-73.36,69,1,6.93
Alofi,80.6,-19.06,-169.92,74,75,5.82
Freeport,83.48,26.54,-78.7,75,100,16.13
Almeirim,73.15,-1.53,-52.58,95,11,1.61
Port Alfred,64.0,-33.59,26.89,77,43,8.01
Kodiak,83.55,39.95,-94.76,23,40,8.05
Carayao,52.34,-25.18,-56.4,82,0,5.91
Ajdabiya,77.85,30.75,20.22,77,0,8.01
Bubaque,80.33,11.28,-15.83,81,100,10.02
Bagdarin,64.04,54.44,113.59,59,61,5.1
Wlodawa,48.2,51.55,23.55,76,0,6.93
Port Blair,83.84,11.67,92.75,78,85,16.22
Vila Velha,82.18,-3.71,-38.6,74,75,14.99
Matara,50.81,-3.48,29.48,84,0,2.01
Amapa,84.2,15.09,-87.97,70,20,14.99
Hasaki,67.57,35.73,140.83,77,75,13.87
Coahuayana,87.55,18.62,-100.35,62,0,0.45
Dharchula,56.55,29.85,80.53,90,100,1.88
Atar,97.04,20.52,-13.05,11,0,17.47
Kavieng,83.18,-2.57,150.8,74,100,14.16
Pimentel,72.57,-3.7,-45.5,98,59,1.99
Praya,77.0,-8.71,116.27,83,40,2.24
Dubbo,44.6,-32.25,148.6,100,90,3.36
Nemuro,66.2,43.32,145.57,72,20,2.24
Goderich,63.37,43.74,-81.71,88,0,10.58
Voh,68.88,-20.95,164.69,64,2,15.52
Sovetsk,54.41,55.08,21.89,97,100,5.73
Tiarei,80.28,-17.53,-149.33,74,75,8.05
Pangnirtung,57.04,66.15,-65.72,64,69,4.07
Bilibino,67.46,68.06,166.44,40,88,6.4
Honningsvag,46.37,70.98,25.97,79,100,3.47
Port Hardy,64.4,50.7,-127.42,72,75,6.93
San Patricio,51.06,-26.98,-56.83,87,0,5.57
Paamiut,48.85,61.99,-49.67,71,93,16.64
Dandong,74.59,40.12,124.37,67,8,4.47
Tshikapa,67.5,-6.42,20.79,25,60,3.36
Banjar,70.77,-7.37,108.54,92,100,1.1
Farsund,52.72,58.09,6.8,80,28,5.99
Severo-Kurilsk,42.05,50.68,156.12,96,100,17.74
Port Elizabeth,72.12,39.31,-74.98,73,1,5.82
Coihaique,37.99,-45.58,-72.07,93,90,1.43
Verkh-Usugli,64.67,52.7,115.17,73,41,2.21
Rocha,44.31,-34.48,-54.34,81,100,4.21
Pisco,63.63,-13.71,-76.2,77,0,6.93
Hammerfest,48.2,70.66,23.68,70,0,3.36
Aksu,59.0,52.04,76.93,100,0,6.71
Castro,50.0,-42.48,-73.76,100,90,13.87
Aklavik,66.2,68.22,-135.01,39,75,10.29
Beringovskiy,66.4,63.05,179.32,40,85,5.64
Sobolevo,48.45,54.43,31.9,96,28,6.58
Dondo,57.69,-19.62,34.74,93,0,2.93
Finschhafen,74.63,-6.6,147.85,54,76,3.74
Imbituba,59.0,-28.24,-48.67,87,0,6.93
Sisimiut,42.75,66.94,-53.67,75,100,28.39
Jalu,79.92,29.03,21.55,40,0,12.06
Kargasok,58.25,59.06,80.87,89,59,12.12
Wageningen,52.92,51.98,5.66,81,90,3.36
Sheridan,75.52,39.65,-105.03,43,75,13.87
Robertson,56.66,-34.59,150.59,50,20,13.87
San Ignacio,58.66,-5.15,-79.0,96,47,1.74
Esil,60.89,51.96,66.41,69,53,8.12
Ingham,65.54,-18.65,146.16,95,100,1.95
Shakawe,50.63,-18.36,21.84,17,0,6.06
Ulladulla,51.94,-35.36,150.48,50,20,13.87
Puerto Ayora,75.4,-0.74,-90.35,65,75,8.05
Patti,82.94,31.28,74.86,84,75,13.87
Honiara,87.8,-9.43,159.96,66,75,22.93
Torbay,62.13,47.66,-52.73,55,20,16.11
Innisfail,68.0,-17.52,146.03,87,100,5.01
Oyama,69.4,36.31,139.8,72,75,11.41
Tonantins,72.81,-2.86,-67.77,85,44,1.63
Marsa Matruh,78.8,31.35,27.25,83,40,9.17
Airai,75.45,-8.93,125.41,66,57,1.63
La Rochelle,67.08,46.16,-1.15,45,0,11.41
Sao Joao da Barra,60.08,-21.64,-41.05,78,35,1.99
Shenjiamen,71.8,29.96,122.3,93,100,10.02
Santiago del Estero,54.29,-27.8,-64.26,44,0,5.19
Bagrami,74.82,34.49,69.27,32,0,1.12
Teknaf,85.46,20.86,92.31,79,100,16.53
Yazman,76.19,36.74,38.46,58,0,8.79
Melong,68.2,5.12,9.95,98,100,2.66
Sokoto,79.59,13.06,5.24,70,100,13.09
Port-Gentil,73.83,-0.72,8.78,86,100,10.45
Malpe,77.0,13.35,74.72,94,40,5.82
Te Anau,44.17,-45.41,167.72,69,83,9.51
Nortelandia,66.98,-14.45,-56.8,52,0,2.01
Brae,48.47,60.4,-1.35,93,7,1.12
Sudogda,54.92,55.95,40.86,96,100,0.65
Vikulovo,57.35,55.07,40.96,97,100,2.01
Saint-Georges,67.06,46.12,-70.67,57,53,5.01
Mehamn,45.39,71.03,27.85,75,95,4.47
Miajadas,66.99,39.15,-5.91,69,30,8.99
Madera,86.7,36.96,-120.06,19,1,10.29
Isangel,77.0,-19.55,169.27,61,20,5.82
Pochutla,84.45,15.74,-96.47,74,75,6.93
Mamallapuram,88.16,12.63,80.17,49,40,10.29
Alexandria,65.55,43.97,25.33,59,1,4.85
Tres Palos,86.0,16.83,-99.78,79,90,10.29
Ahuimanu,82.85,21.44,-157.84,88,75,17.22
Surab,70.18,28.49,66.26,42,4,5.37
Iracoubo,75.67,5.48,-53.21,92,99,4.52
Fuxin,78.15,42.02,121.65,53,100,3.65
Mandalgovi,64.87,45.76,106.27,48,0,9.42
Deception Bay,65.84,-27.19,153.02,72,20,5.82
Cap Malheureux,70.0,-19.98,57.61,81,35,3.0
Codajas,74.21,-3.84,-62.06,89,20,1.63
Marsh Harbour,84.2,26.54,-77.06,72,100,15.66
Gornopravdinsk,53.87,60.06,69.92,96,90,0.81
Karratha,69.6,-20.74,116.85,38,2,11.3
Taganak,78.8,6.08,118.3,88,75,3.36
Gore,57.49,8.15,35.53,99,82,1.59
Tateyama,77.18,36.66,137.31,74,75,5.82
Saint-Philippe,76.19,45.36,-73.48,36,1,9.17
Bethel,85.98,60.79,-161.76,43,75,6.93
San Quintin,79.22,17.54,120.52,79,100,3.15
Uspenka,63.09,48.39,39.16,89,99,10.69
Georgetown,79.5,6.8,-58.16,78,40,9.17
Acapulco,86.0,16.86,-99.88,79,90,10.29
Coquimbo,55.0,-29.95,-71.34,87,75,4.7
Moranbah,66.81,-22.0,148.04,68,24,13.89
Betanzos,60.82,43.28,-8.21,93,90,5.82
Hualmay,62.62,-11.1,-77.61,90,11,15.79
Delta del Tigre,49.17,-34.76,-56.41,70,0,6.93
Okha,47.79,53.59,142.95,86,100,5.41
Oliveira,51.53,-20.7,-44.83,82,0,5.53
Manicore,75.87,-5.81,-61.3,66,0,1.74
Cranbrook,70.56,49.51,-115.76,35,75,11.41
Cabedelo,73.4,-6.97,-34.84,94,20,4.7
Ituporanga,48.99,-27.41,-49.6,96,0,1.34
Maningrida,75.89,-12.05,134.23,56,6,8.75
Bejar,75.65,40.49,19.83,63,10,2.68
Dangriga,82.4,16.97,-88.23,79,20,5.82
Kyren,56.84,51.68,102.13,66,85,3.51
Chapais,69.8,49.78,-74.86,40,1,13.87
Jackson,52.88,43.48,-110.76,71,75,14.99
Surt,81.86,31.21,16.59,61,0,4.92
Irtyshskiy,53.24,58.33,68.13,98,100,7.36
Presidente Epitacio,54.63,-21.76,-52.12,75,0,4.52
Egvekinot,78.06,66.32,-179.17,28,22,2.48
Thinadhoo,84.2,0.53,72.93,76,91,11.21
Kavaratti,83.54,10.57,72.64,80,100,18.23
West Bay,71.06,49.34,-123.21,64,20,9.17
Necochea,43.68,-38.55,-58.74,89,100,1.99
Barranca,62.62,-10.75,-77.76,90,11,15.79
Zhaozhou,80.69,45.71,125.27,69,98,8.05
Saint-Pierre,51.19,48.95,4.24,76,0,5.82
Rio Grande,46.13,-32.03,-52.1,93,38,3.56
Plaisance-du-Touch,68.05,43.57,1.3,78,75,12.75
Pevek,45.88,69.7,170.27,71,100,3.83
Yulara,57.2,-25.24,130.99,50,0,4.7
Kishi,70.02,9.08,3.85,96,100,6.91
Kalabo,51.12,-15.0,22.67,19,0,5.7
Evensk,64.13,61.92,159.24,52,97,3.94
Comodoro Rivadavia,50.0,-45.87,-67.48,76,0,4.7
Namatanai,78.46,-3.66,152.44,83,100,18.21
Toktogul,52.25,41.87,72.95,64,23,5.5
Sambava,66.45,-14.27,50.17,96,30,2.28
Diu,81.36,20.71,70.98,81,95,13.31
Sampang,71.85,-7.54,109.46,85,100,3.33
Tura,62.51,64.27,100.22,64,29,16.71
Puerto Escondido,84.2,15.86,-97.07,74,75,6.93
Dodoma,64.51,-6.18,35.75,79,0,5.39
Novyy Urengoy,51.77,66.08,76.63,61,12,12.82
Laguna,84.2,16.17,-88.94,74,40,4.7
Cotonou,78.8,6.37,2.43,83,20,11.41
Katsuura,73.26,33.93,134.5,88,75,11.41
Mount Gambier,48.2,-37.83,140.78,100,75,9.17
Bonthe,75.83,7.53,-12.5,84,100,13.6
Alekseyevsk,62.55,57.84,108.35,70,100,2.98
Barra do Bugres,67.98,-15.07,-57.19,49,0,2.89
Kaeo,58.35,-35.1,173.78,80,92,3.0
Preobrazheniye,71.39,42.9,133.91,54,0,3.2
Los Llanos de Aridane,67.1,28.66,-17.92,73,20,17.22
Kachug,69.12,53.96,105.89,60,75,1.07
Sinnamary,81.5,5.38,-52.96,78,70,12.26
Sorland,55.28,67.67,12.69,67,2,10.33
Saldanha,60.28,41.42,-6.55,85,37,2.35
Didsbury,63.99,51.66,-114.14,55,40,4.7
Salalah,84.2,17.01,54.1,83,75,5.82
Porbandar,81.84,21.64,69.61,85,100,16.2
Carauari,72.65,-4.88,-66.9,77,5,2.15
Narrabri,54.88,-30.33,149.78,87,0,6.93
Port Macquarie,62.49,-31.43,152.91,62,0,8.05
Matagami,68.34,9.67,8.4,99,100,3.8
Leshukonskoye,48.08,64.9,45.76,77,84,7.23
Haines Junction,66.9,60.75,-137.51,37,87,6.17
Gazanjyk,90.29,39.24,55.52,34,41,5.35
Yakeshi,64.96,49.28,120.73,78,97,4.63
Rapid Valley,70.61,44.06,-103.15,94,75,4.7
Emerald,68.52,-23.53,148.16,77,0,5.82
Iquitos,73.4,-3.75,-73.25,88,75,0.4
Warrington,57.61,53.39,-2.59,72,40,3.36
Amod,80.6,21.99,72.87,94,40,6.93
Ouargaye,78.86,11.5,0.06,70,44,10.49
Lompoc,65.84,34.64,-120.46,72,1,13.87
Aykhal,68.0,65.95,111.51,60,90,6.71
Kragujevac,66.2,44.01,20.91,100,75,2.24
Faanui,79.34,-16.48,-151.75,80,67,15.23
Punta Cardon,79.81,11.61,-70.22,83,41,33.55
Mawlaik,73.31,23.63,94.42,93,77,1.01
The Pas,73.4,53.82,-101.24,60,20,3.36
Anadyr,73.18,64.73,177.51,35,0,4.47
Santa Maria,62.92,-16.02,-48.01,72,0,9.17
Kailua,82.87,21.39,-157.74,88,75,17.22
Freetown,83.86,26.61,-78.36,74,99,13.11
Vila Franca do Campo,66.2,37.72,-25.43,77,20,4.7
Itarantim,61.85,-15.65,-40.06,87,63,3.11
Tiznit,67.21,29.7,-9.73,85,0,23.87
Lakefield,71.53,44.42,-78.27,53,1,4.7
Fairmont,80.74,40.64,-97.59,78,1,6.93
Port Said,82.13,25.34,30.55,19,0,6.82
Cheney,74.95,47.49,-117.58,31,75,5.82
Nome,88.02,30.04,-94.42,74,1,5.82
Riberalta,71.51,-11.0,-66.08,67,0,0.65
Albury,49.01,-36.08,146.92,93,90,4.47
Gemena,71.4,3.25,19.78,89,100,1.1
Canberra,47.12,-35.3,149.1,81,2,5.82
Ahmadnagar,73.06,19.09,74.75,87,99,19.1
Fomboni,77.34,-12.28,43.74,81,0,14.61
Vezirkopru,64.15,41.14,35.45,59,0,3.36
Germantown,69.78,43.23,-88.11,64,1,3.36
Dunedin,51.01,-45.87,170.5,59,91,3.0
Rovaniemi,51.8,66.5,25.72,62,0,10.29
Lalmohan,82.69,22.34,90.74,83,99,14.32
Lengshuitan,68.31,26.41,111.6,98,100,3.53
Fonte Boa,79.5,-2.51,-66.09,69,41,4.27
Ostrovnoy,38.88,68.05,39.51,93,100,7.9
Pokosnoye,63.75,55.53,101.05,83,0,3.94
Yagodnoye,65.18,62.52,149.63,41,12,2.51
Baruun-Urt,66.27,46.68,113.28,66,77,6.58
Point Pleasant,72.32,40.08,-74.07,68,1,4.7
Nioro,80.57,13.79,-15.05,67,80,11.36
Xuddur,72.63,4.12,43.89,76,6,16.15
Chapeco,46.08,-27.1,-52.62,90,0,2.62
Skjervoy,52.2,70.03,20.97,69,53,2.26
Kloulklubed,82.4,7.04,134.26,78,75,4.7
Sydney Mines,63.18,46.24,-60.22,55,75,6.93
Yenagoa,74.01,4.92,6.26,93,100,6.8
Shelburne,72.1,44.08,-80.2,49,1,3.36
Kruisfontein,53.87,-34.0,24.73,91,54,8.68
Tezu,70.23,27.93,96.16,99,100,2.3
Ballina,58.75,54.11,-9.15,94,93,1.99
Iqaluit,55.18,63.75,-68.52,71,75,5.82
Esperance,50.0,-33.86,121.89,100,90,10.29
Molteno,42.42,-31.4,26.36,77,1,3.4
Raudeberg,52.45,61.99,5.14,71,50,4.7
Turukhansk,56.93,65.8,87.96,96,98,6.38
Utinga,75.2,-5.82,-35.4,88,20,5.82
Bathsheba,80.6,13.22,-59.52,83,40,18.34
Waingapu,72.79,-9.65,120.26,79,23,12.8
Markala,80.37,13.69,-6.07,59,65,12.15
Srednekolymsk,75.78,67.46,153.71,30,0,14.38
Palana,52.04,59.08,159.95,75,33,5.75
Timbuktu,88.41,16.77,-3.01,47,14,26.64
Saint Anthony,67.71,43.97,-111.68,35,20,12.75
Puerto del Rosario,69.8,28.5,-13.86,77,26,16.11
Muzhi,48.96,65.4,64.7,69,93,2.3
Labuhan,73.44,-2.54,115.51,77,18,0.58
Ginda,77.0,30.69,78.49,94,90,3.36
Starodub,50.22,52.58,32.76,95,24,6.98
Tomohon,80.6,1.33,124.84,74,40,5.82
Rawson,49.08,-43.3,-65.11,59,66,11.41
Agadez,80.6,16.97,7.99,57,1,18.12
Genhe,64.28,50.78,121.52,77,36,5.06
Bambanglipuro,75.36,-7.95,110.28,78,91,13.8
Mingshui,83.34,22.81,109.89,83,94,5.95
Seoul,76.1,37.57,126.98,53,1,4.7
Calamar,68.79,1.96,-72.65,93,90,3.62
Puerto El Triunfo,84.2,13.27,-88.55,79,75,4.7
Boves,50.63,49.85,2.39,81,0,5.82
Xining,46.24,36.62,101.77,74,20,0.76
Kez,45.45,57.9,53.72,97,17,3.18
Farah,77.94,32.37,62.11,22,0,4.9
San Nicolas,86.56,13.93,120.95,74,20,2.24
Kathu,39.99,-27.7,23.05,59,0,4.07
Ola,50.0,59.58,151.3,87,0,2.73
Yelnya,47.54,54.58,33.19,95,0,4.99
Kraslice,46.96,50.32,12.52,71,20,3.36
Pachino,78.55,36.72,15.09,65,0,3.36
Izhmorskiy,61.0,56.19,86.64,85,0,4.99
Kautokeino,45.29,69.01,23.04,78,76,1.1
Harper,88.47,30.3,-99.24,52,40,11.41
Baykit,57.94,61.68,96.39,75,77,8.1
Atyrau,66.2,47.1,51.92,72,0,6.71
Mogadishu,75.38,2.04,45.34,87,45,11.95
Port Lincoln,57.63,-34.72,135.86,82,0,19.48
Grand-Santi,72.25,4.27,-54.38,97,72,1.95
Kharitonovo,54.16,61.4,47.5,93,100,4.56
Yazykovo,59.61,54.3,47.38,96,100,5.06
Bahile,80.6,10.0,118.79,88,75,5.82
Lucapa,60.15,-8.42,20.74,28,7,4.56
Barceloneta,81.32,18.45,-66.54,74,40,5.82
Madhubani,77.58,26.36,86.07,94,100,20.8
Lavrentiya,73.33,65.58,-170.99,28,37,7.38
Northam,48.2,-31.65,116.67,93,75,4.7
Guerrero Negro,65.37,27.97,-114.04,85,33,11.74
Chadiza,60.23,-14.06,32.43,35,41,9.17
Santa Isabel,101.59,32.63,-115.58,7,1,11.41
Broome,55.31,52.47,1.45,76,100,3.36
Roald,47.05,62.58,6.12,93,81,12.75
Caravelas,69.96,-17.73,-39.27,76,75,13.22
Saint-Augustin,76.44,45.63,-73.98,41,75,5.82
Jos,67.97,9.92,8.9,95,100,4.74
Tautira,81.32,-17.73,-149.15,74,75,8.05
Anjozorobe,60.8,-18.4,47.88,100,75,1.12
Teguldet,61.32,57.31,88.17,80,10,5.32
Meulaboh,80.55,4.14,96.13,82,58,6.89
Whitehorse,75.06,60.72,-135.06,27,75,12.75
Itaituba,75.4,-4.26,-55.99,81,5,2.06
Kirakira,80.01,-10.46,161.92,84,64,17.63
Kungurtug,57.2,50.6,97.53,83,66,1.7
Gejiu,65.64,23.36,103.16,93,100,3.87
Longyan,75.62,25.1,117.03,90,98,2.82
Soyo,74.03,-6.13,12.37,83,81,8.75
Antofagasta,57.2,-23.65,-70.4,76,20,12.75
Kazachinskoye,64.87,57.69,93.28,69,66,2.91
Inuvik,66.2,68.36,-133.71,39,75,10.29
Chifeng,72.18,42.27,118.96,52,100,5.79
Yeppoon,69.8,-23.13,150.74,68,32,6.93
Port Stanley,69.98,42.67,-81.22,56,90,6.93
Rosetta,79.7,31.4,30.42,78,0,13.35
Alta,50.86,69.97,23.27,71,76,4.7
Buchanan,75.2,5.88,-10.05,94,75,15.23
Bahia de Caraquez,75.2,-0.6,-80.42,78,75,11.41
Bagotville,64.83,-28.98,153.42,68,0,8.05
Ahipara,60.01,-35.17,173.16,100,100,6.82
Kalemie,63.16,-5.95,29.2,58,4,1.74
Flin Flon,69.98,54.77,-101.88,45,72,9.08
Mokshan,64.0,53.44,44.61,85,100,11.63
Bandipur,63.81,11.67,76.63,92,100,5.41
Petropavlovsk-Kamchatskiy,53.6,53.05,158.65,87,75,4.47
Malinyi,66.56,-8.94,36.14,77,33,3.85
Pauini,72.18,-7.71,-67.0,76,15,0.92
Broken Hill,55.4,-31.97,141.45,58,0,6.93
Peniche,64.83,39.36,-9.38,88,75,6.93
Sirur,73.22,18.83,74.38,87,100,15.82
Komsomolskiy,43.63,67.55,63.78,73,26,9.57
Flinders,57.02,-34.58,150.85,50,20,13.87
Redlands,77.0,34.06,-117.19,32,5,6.93
Antsohihy,75.09,-14.88,47.99,77,3,3.65
Pala,75.29,9.37,14.91,84,96,5.23
Myitkyina,72.36,25.38,97.4,99,100,1.86
Biak,64.44,-0.91,122.88,95,99,5.06
Varhaug,51.58,58.61,5.65,87,90,13.87
Hagere Selam,53.6,6.48,38.52,92,80,1.88
Ragusa,78.55,36.92,14.72,65,0,3.36
Viedma,47.61,-40.81,-62.99,75,17,8.79
